Id,Probability
1,6.318873e-02
2,3.502217e-02
3,1.057292e-02
4,6.015344e-02
5,1.607828e-01
6,3.119436e-02
7,5.650345e-02
8,5.733598e-02
9,1.086186e-02
10,3.569100e-01
11,3.996425e-03
12,2.944313e-02
13,7.049681e-03
14,6.204446e-02
15,4.486838e-02
16,8.684530e-03
17,1.768186e-02
18,1.320048e-02
19,2.535187e-01
20,6.310770e-02
21,6.752040e-03
22,1.157292e-02
23,1.378257e-03
24,5.651018e-01
25,7.533282e-02
26,2.719770e-02
27,1.251741e-01
28,1.405076e-02
29,4.095475e-02
30,3.198443e-02
31,5.719103e-02
32,1.970450e-02
33,1.135423e-02
34,5.408992e-02
35,2.802612e-01
36,6.769769e-02
37,2.711484e-02
38,1.822196e-02
39,8.499043e-03
40,7.101992e-02
41,2.046047e-01
42,2.548853e-01
43,1.186985e-01
44,4.653550e-03
45,4.593851e-02
46,6.949593e-04
47,4.446288e-03
48,1.371657e-02
49,1.416901e-02
50,2.826514e-02
51,1.475424e-02
52,1.994661e-02
53,4.561232e-03
54,3.759742e-02
55,8.761501e-03
56,4.612644e-02
57,4.835536e-03
58,1.291227e-01
59,7.105074e-02
60,9.336483e-02
61,2.326904e-02
62,7.165964e-03
63,1.830744e-02
64,1.475419e-02
65,1.504577e-02
66,1.672223e-02
67,2.082000e-02
68,1.707841e-01
69,4.822803e-03
70,6.230350e-01
71,3.245334e-02
72,9.994797e-02
73,2.896599e-03
74,2.230917e-01
75,8.603686e-03
76,4.387883e-02
77,9.906189e-02
78,5.025551e-02
79,3.011160e-02
80,1.077242e-02
81,2.137335e-02
82,7.890030e-03
83,3.136388e-02
84,6.519112e-03
85,2.018609e-02
86,1.110986e-02
87,7.262465e-02
88,2.995810e-02
89,3.792908e-02
90,2.842288e-02
91,4.764332e-02
92,1.611214e-02
93,1.590699e-02
94,1.685673e-02
95,4.017636e-03
96,1.112246e-01
97,2.870559e-02
98,8.221889e-02
99,1.245732e-02
100,1.001646e-02
101,3.741060e-02
102,9.851895e-02
103,1.059670e-02
104,5.630741e-02
105,7.584647e-02
106,2.572474e-02
107,3.426521e-01
108,1.967389e-02
109,2.050875e-03
110,2.547689e-02
111,2.004337e-02
112,7.339496e-02
113,2.217983e-02
114,4.883766e-01
115,1.137880e-01
116,2.082061e-02
117,1.087412e-02
118,9.180526e-02
119,1.386902e-02
120,4.540400e-03
121,4.374008e-03
122,5.260890e-02
123,7.642708e-03
124,5.459352e-01
125,2.944667e-02
126,2.341963e-02
127,7.041988e-03
128,1.234352e-02
129,1.015244e-02
130,4.187068e-02
131,3.182207e-02
132,9.596752e-02
133,2.642440e-03
134,1.119649e-01
135,1.949431e-01
136,8.544925e-03
137,2.027362e-01
138,3.139123e-02
139,2.358241e-03
140,9.513497e-03
141,2.944701e-03
142,1.500271e-02
143,1.028501e-02
144,8.956842e-03
145,3.324241e-01
146,3.361861e-03
147,3.393751e-03
148,1.257298e-01
149,4.645113e-03
150,4.613062e-02
151,1.224294e-03
