Id,Probability
1,7.92E-02
2,8.49E-02
3,4.18E-02
4,1.53E-01
5,2.44E-01
6,1.10E-01
7,2.39E-01
8,1.05E-01
9,4.42E-02
10,6.51E-01
11,1.58E-02
12,7.14E-02
13,6.65E-03
14,2.11E-01
15,1.33E-01
16,4.55E-02
17,6.99E-02
18,2.52E-02
19,4.27E-01
20,1.94E-01
21,2.71E-02
22,8.24E-02
23,5.13E-03
24,5.61E-01
25,1.94E-01
26,7.30E-02
27,1.28E-01
28,1.20E-01
29,9.38E-02
30,4.18E-02
31,1.38E-01
32,6.92E-02
33,2.63E-02
34,1.91E-01
35,3.04E-01
36,2.13E-01
37,1.30E-01
38,8.16E-02
39,3.65E-02
40,8.10E-02
41,3.73E-01
42,4.30E-01
43,2.73E-01
44,1.36E-02
45,1.00E-01
46,8.91E-03
47,1.17E-01
48,1.19E-01
49,4.17E-02
50,1.34E-01
51,7.50E-02
52,1.17E-01
53,1.83E-02
54,6.95E-02
55,3.62E-02
56,2.34E-01
57,2.51E-02
58,2.31E-01
59,4.09E-01
60,3.85E-01
61,4.71E-02
62,1.19E-02
63,1.83E-02
64,1.21E-02
65,8.72E-03
66,5.79E-02
67,5.83E-02
68,4.65E-01
69,8.15E-03
70,8.67E-01
71,2.18E-01
72,3.26E-01
73,2.21E-02
74,3.81E-01
75,7.11E-02
76,1.50E-01
77,2.02E-01
78,1.12E-01
79,8.31E-02
80,3.56E-02
81,1.34E-01
82,5.97E-02
83,1.10E-01
84,2.40E-02
85,3.78E-02
86,1.28E-02
87,3.68E-01
88,8.04E-02
89,1.71E-01
90,6.74E-02
91,2.60E-01
92,6.23E-02
93,6.01E-02
94,1.24E-01
95,7.87E-03
96,9.55E-02
97,1.20E-01
98,3.42E-01
99,2.21E-02
100,1.73E-02
101,2.50E-01
102,1.58E-01
103,4.38E-02
104,1.81E-01
105,2.03E-01
106,1.06E-01
107,6.54E-01
108,3.48E-02
109,1.16E-03
110,3.12E-02
111,9.50E-02
112,1.75E-01
113,5.03E-02
114,6.17E-01
115,1.59E-01
116,3.62E-02
117,3.49E-02
118,1.53E-01
119,1.00E-02
120,3.97E-03
121,2.36E-02
122,1.06E-01
123,1.17E-02
124,7.17E-01
125,7.93E-02
126,4.74E-02
127,1.16E-02
128,1.15E-02
129,3.26E-02
130,8.56E-02
131,3.36E-02
132,1.97E-01
133,1.66E-02
134,2.18E-01
135,4.52E-01
136,1.65E-02
137,5.20E-01
138,6.22E-02
139,2.00E-03
140,2.14E-02
141,8.31E-03
142,8.98E-03
143,6.77E-02
144,1.87E-02
145,6.21E-01
146,1.61E-02
147,3.25E-03
148,1.27E-01
149,4.09E-03
150,1.15E-01
151,2.99E-04
152,1.04E-02
153,7.54E-02
154,1.32E-01
155,1.81E-02
156,2.12E-02
157,2.36E-01
158,4.92E-02
159,2.58E-01
160,1.63E-02
161,4.52E-03
162,3.14E-02
163,1.51E-01
164,3.46E-01
165,5.20E-02
166,1.37E-01
167,7.58E-01
168,1.96E-01
169,2.97E-01
170,1.77E-02
171,8.33E-04
172,3.03E-02
173,8.54E-03
174,2.42E-01
175,3.03E-02
176,6.88E-01
177,6.79E-02
178,2.03E-01
179,3.73E-02
180,4.62E-02
181,9.20E-02
182,2.04E-02
183,7.23E-02
184,5.19E-02
185,1.88E-01
186,5.73E-02
187,1.83E-02
188,1.21E-01
189,6.47E-02
190,2.58E-02
191,3.58E-02
192,1.65E-01
193,3.48E-02
194,4.57E-01
195,7.38E-03
196,8.59E-02
197,1.04E-01
198,5.17E-03
199,6.60E-02
200,6.19E-03
201,1.55E-01
202,8.83E-02
203,5.42E-01
204,1.37E-01
205,1.05E-01
206,5.35E-02
207,6.16E-02
208,2.63E-02
209,3.24E-01
210,4.87E-02
211,2.61E-01
212,4.39E-02
213,4.60E-02
214,1.59E-02
215,1.54E-01
216,1.62E-01
217,1.21E-02
218,2.57E-01
219,3.01E-02
220,1.98E-03
221,2.80E-02
222,1.20E-02
223,5.07E-02
224,7.67E-02
225,1.83E-02
226,1.87E-01
227,4.81E-03
228,2.93E-01
229,3.25E-01
230,4.62E-01
231,4.44E-01
232,3.97E-02
233,7.10E-02
234,8.17E-02
235,3.52E-02
236,3.61E-01
237,4.31E-01
238,2.37E-02
239,1.54E-01
240,2.17E-02
241,6.39E-02
242,3.95E-02
243,3.19E-03
244,7.50E-02
245,4.11E-01
246,2.90E-02
247,8.51E-02
248,3.20E-02
249,1.80E-02
250,5.67E-01
251,2.02E-01
252,4.33E-01
253,5.39E-02
254,2.25E-01
255,2.17E-03
256,8.68E-02
257,2.42E-01
258,1.71E-01
259,6.45E-02
260,4.36E-01
261,1.93E-02
262,5.17E-02
263,8.07E-03
264,1.17E-01
265,1.91E-01
266,4.17E-03
267,1.70E-01
268,1.44E-01
269,4.45E-01
270,6.94E-03
271,4.82E-02
272,9.71E-02
273,4.68E-02
274,4.70E-02
275,9.69E-03
