aX,aY
32,95
32,101
29,91
31,95
25,92
31,91
33,85
25,86
29,86
29,86
29,87
32,88
31,83
29,84
26,80
27,83
31,82
34,74
30,81
30,81
32,86
36,84
30,80
31,82
31,80
31,83
30,82
33,79
32,79
26,78
33,85
32,80
26,72
28,79
29,75
31,82
33,80
32,77
29,80
29,86
33,88
29,81
30,77
27,79
30,81
27,80
24,75
26,74
26,78
26,81
27,83
27,78
22,73
27,79
20,75
28,79
25,79
21,80
24,81
26,84
25,85
24,81
16,72
27,84
26,87
34,89
40,78
68,78
83,80
90,82
88,80
108,89
115,90
135,98
180,100
214,101
254,99
253,94
310,99
315,103
385,116
433,135
478,164
521,197
547,224
562,249
568,272
575,290
565,293
555,310
536,316
520,318
497,324
481,334
456,335
436,344
420,338
397,338
378,321
359,302
341,272
323,245
303,206
287,205
273,212
260,271
229,319
210,327
218,341
247,379
268,415
297,441
326,472
347,485
369,504
376,520
398,526
408,525
412,516
435,503
460,486
439,449
414,406
393,355
368,296
336,245
340,212
288,205
241,204
210,208
203,219
180,227
193,246
239,258
310,277
344,295
371,317
403,335
415,354
429,372
428,381
423,390
411,396
397,410
378,420
367,417
347,415
330,415
322,414
304,397
293,353
277,312
256,271
248,238
237,204
228,211
214,252
203,282
186,288
168,340
179,344
201,371
232,418
264,436
296,472
332,470
366,480
390,489
411,500
435,502
446,504
451,505
459,509
453,495
456,490
455,474
445,446
454,411
433,349
443,310
396,259
381,241
335,283
297,377
239,498
199,634
172,769
156,870
171,955
194,959
222,950
268,959
293,953
347,954
385,951
423,958
456,956
470,956
465,955
467,955
456,957
445,957
424,957
408,933
398,867
374,791
355,685
343,592
327,499
310,428
295,360
280,356
264,383
253,421
238,432
213,496
199,542
212,567
241,648
266,628
311,612
340,619
374,635
399,650
417,656
430,668
448,679
462,692
459,697
462,687
461,681
453,659
459,623
473,577
438,510
394,427
358,355
326,299
300,276
248,275
207,293
174,323
168,345
184,351
205,377
237,397
290,408
353,416
394,421
430,424
460,423
478,426
482,427
471,413
462,408
458,392
444,364
424,328
410,306
389,274
365,246
348,235
337,267
315,284
303,332
283,398
249,461
214,561
220,583
230,619
265,654
291,700
314,729
334,753
357,780
368,788
384,799
403,812
411,805
416,796
423,784
421,760
421,720
418,689
392,634
356,577
344,513
313,450
272,374
234,308
194,265
182,248
165,247
151,259
160,270
159,286
195,298
230,312
258,325
313,337
363,350
377,362
408,375
427,392
436,401
440,407
430,409
425,414
413,416
399,420
382,424
361,421
350,420
332,409
312,390
302,375
287,344
273,303
260,316
245,322
232,307
219,310
207,320
189,348
188,409
209,439
235,472
273,508
308,534
341,565
369,587
387,593
403,599
415,597
424,588
430,568
438,556
474,532
453,498
402,454
361,408
335,355
304,313
264,262
224,229
197,201
177,189
167,189
170,200
200,227
227,244
246,265
310,293
354,318
379,335
393,356
398,375
394,387
390,394
374,407
367,415
344,422
337,421
320,424
303,422
295,416
278,399
265,351
251,307
232,336
225,307
216,296
204,327
183,374
174,407
197,411
227,449
260,478
295,511
338,537
365,570
392,569
411,571
428,588
428,583
442,580
443,569
457,555
473,531
449,501
382,464
340,424
300,376
265,326
229,269
206,232
196,209
207,186
214,175
235,171
272,183
331,193
365,214
385,230
396,248
397,272
392,294
385,302
367,319
358,340
347,354
332,367
316,372
295,369
286,366
272,350
258,309
241,281
233,262
215,220
207,197
192,195
189,198
178,211
172,225
156,233
153,250
145,281
137,318
130,334
121,362
139,384
179,418
208,434
249,448
273,452
300,463
333,469
355,472
373,467
402,463
397,446
372,409
348,386
304,349
286,311
247,262
215,220
190,195
169,176
153,165
168,169
193,181
222,195
254,219
276,250
284,277
291,306
286,331
280,353
272,382
269,414
259,445
250,471
237,495
228,497
216,494
205,490
197,452
187,392
177,333
169,313
160,278
152,269
147,275
137,298
129,320
125,321
153,341
197,392
235,405
273,413
307,428
336,445
364,456
384,458
407,468
413,468
428,464
434,461
446,456
441,440
429,416
400,387
371,356
387,311
348,265
288,225
245,198
213,179
193,173
158,181
168,195
196,220
237,245
271,281
315,323
346,349
367,387
376,417
378,437
374,455
369,468
349,478
344,483
331,485
319,486
301,479
289,454
269,387
261,325
251,272
236,248
224,227
212,243
196,281
178,287
182,320
209,336
242,343
267,351
299,371
324,385
341,404
369,416
382,423
395,430
412,429
436,411
425,392
393,372
375,343
361,316
333,279
310,240
268,203
217,175
174,162
160,160
144,173
200,192
251,221
302,248
346,279
367,303
380,337
392,374
382,405
383,444
366,464
361,493
348,510
334,521
317,513
303,523
290,508
272,496
261,482
247,430
234,382
223,303
209,279
200,243
189,240
182,240
162,250
166,272
189,311
208,326
247,349
283,366
305,394
330,412
353,424
369,432
379,439
393,441
396,438
413,434
391,415
409,401
364,369
340,330
352,295
307,250
292,216
245,176
212,170
187,188
165,202
182,236
189,280
210,339
275,383
327,424
357,474
377,506
386,540
385,571
378,598
374,627
361,645
343,653
335,662
319,655
301,631
292,560
276,552
262,533
248,496
236,426
224,346
213,337
203,299
192,298
175,291
179,332
208,348
243,345
281,350
322,361
352,371
392,392
424,394
444,406
462,415
473,424
494,435
488,427
473,400
445,367
414,319
396,271
363,240
319,228
290,235
236,254
220,280
187,302
172,332
185,359
205,384
228,404
281,412
314,431
350,430
386,441
410,462
410,474
417,499
412,511
401,531
392,545
371,554
362,558
346,556
330,543
314,525
300,494
281,450
274,394
248,335
245,306
225,305
213,317
194,345
211,398
234,480
273,493
302,535
332,564
368,600
392,633
417,654
437,661
445,667
469,660
484,648
505,631
459,598
428,550
398,491
354,423
325,350
283,291
251,261
202,247
164,243
175,245
182,262
207,281
237,301
251,328
314,355
352,375
384,395
401,415
411,431
412,439
408,460
398,468
382,461
373,471
358,456
335,418
328,365
316,303
295,290
275,304
270,313
234,337
216,363
222,401
251,449
287,477
307,501
341,529
373,561
400,583
416,599
431,610
448,607
462,604
481,580
463,546
479,513
451,470
434,425
416,370
388,315
,
29,64
30,74
32,79
33,77
30,81
23,76
25,82
28,85
28,79
26,90
31,89
28,93
19,83
27,89
29,88
31,88
27,86
23,80
32,85
30,83
31,83
29,81
27,74
29,80
31,79
31,78
28,78
22,73
33,78
31,76
31,78
27,75
23,72
28,72
26,70
35,74
35,75
31,78
27,77
31,85
31,84
40,84
37,83
30,76
34,76
24,75
35,79
26,73
32,79
30,78
28,82
24,72
25,81
28,83
30,74
30,79
28,76
25,80
22,73
29,83
29,81
28,78
22,75
27,86
25,86
24,80
28,81
30,87
28,87
29,85
27,84
28,81
28,77
30,79
31,79
20,74
28,79
25,80
26,83
27,86
26,86
26,85
26,83
29,84
48,80
79,77
