aX,aY
22,42
24,45
20,52
23,55
18,53
22,60
19,56
17,54
23,62
23,62
21,62
22,62
23,65
21,64
16,64
24,68
18,63
17,63
22,68
18,64
24,66
20,56
15,61
22,59
20,64
22,58
23,63
21,68
16,62
18,60
21,65
17,59
23,59
21,57
22,57
22,56
16,54
23,60
22,61
19,63
24,66
17,60
22,64
19,56
20,55
19,59
22,67
22,65
22,64
22,64
22,69
24,68
23,67
14,57
21,64
15,66
20,67
21,66
22,64
20,62
19,64
20,64
22,68
26,62
20,62
23,63
30,70
30,75
31,82
32,78
39,84
43,93
47,92
50,103
56,99
65,129
72,134
80,143
75,146
84,163
78,216
89,223
120,232
151,234
184,256
214,220
255,198
289,179
315,180
353,192
384,212
404,225
413,240
422,251
420,250
414,259
401,259
382,256
381,270
375,270
369,276
355,282
340,277
326,282
314,283
305,279
288,281
278,281
264,277
254,275
251,272
241,267
227,259
209,250
207,248
201,233
190,223
182,201
171,191
162,179
152,175
147,159
145,144
138,135
124,123
125,120
121,108
116,103
104,94
104,93
104,88
102,77
99,80
95,78
91,76
91,76
80,77
89,79
84,71
77,79
72,72
76,76
72,72
70,75
67,69
70,76
69,70
66,68
58,71
57,71
57,67
65,66
60,58
54,59
57,65
57,57
50,62
53,61
51,62
49,61
49,59
48,61
42,63
42,61
45,60
43,65
39,67
36,62
40,66
40,64
37,63
37,64
30,65
33,59
33,63
34,58
31,61
36,64
37,62
36,61
31,57
35,61
36,59
35,59
28,58
33,63
33,62
37,65
33,67
29,60
27,65
30,70
29,70
24,66
28,68
30,61
32,67
30,69
32,66
30,72
28,71
29,67
25,64
31,62
29,70
32,71
32,67
33,69
31,73
29,66
33,68
25,59
28,65
36,70
30,64
33,68
27,59
33,70
34,74
34,74
35,71
32,76
34,77
35,78
35,76
26,67
32,75
29,69
35,83
33,82
32,76
30,68
35,73
32,80
30,82
34,71
27,71
31,78
23,69
23,68
28,72
30,68
22,63
28,71
29,73
31,73
32,71
24,65
29,69
23,67
27,68
27,68
23,65
29,65
28,68
23,59
20,62
20,60
26,65
26,67
26,62
16,64
25,65
23,65
24,70
21,59
23,66
25,71
24,68
25,73
18,64
26,70
24,70
28,69
25,67
26,61
25,64
18,59
23,64
26,68
21,63
29,72
22,71
24,75
26,75
25,72
25,72
25,70
21,66
24,63
23,69
17,64
25,71
22,63
23,62
22,60
25,65
25,69
21,61
26,71
26,67
20,63
25,67
25,70
25,72
21,66
24,67
22,70
20,62
18,65
26,71
26,74
19,68
25,73
26,72
26,73
24,68
24,72
24,69
25,72
26,69
23,66
19,70
25,76
24,79
21,76
20,67
23,76
17,71
20,70
24,75
25,74
25,72
25,71
25,70
19,66
26,73
26,66
25,71
26,72
22,69
26,73
25,74
22,69
25,68
26,70
27,69
25,71
27,76
28,76
26,71
27,78
25,72
26,74
17,66
25,70
22,61
23,61
23,69
24,70
24,66
20,58
25,67
24,66
22,67
25,67
25,66
26,66
25,65
25,63
22,63
19,58
18,54
24,60
22,62
25,62
24,61
19,63
23,63
24,68
24,64
23,60
25,58
27,59
25,63
24,63
25,62
25,63
25,69
25,69
25,67
21,58
24,64
23,68
26,70
18,63
20,65
21,64
18,60
22,66
18,66
27,68
25,68
17,60
27,65
25,62
26,64
26,64
26,68
24,68
24,65
24,61
23,66
24,70
26,71
22,63
26,66
26,64
20,61
26,66
23,67
26,66
26,68
22,61
25,68
24,68
24,67
25,68
16,61
24,69
25,65
24,64
21,58
27,67
24,63
32,61
25,59
18,57
18,55
21,53
27,64
27,66
19,62
23,64
28,58
24,59
24,67
24,72
27,71
21,59
24,66
22,63
20,58
27,67
25,68
26,64
24,60
21,62
27,67
27,64
26,64
25,65
22,66
26,67
26,63
23,62
25,65
19,67
25,66
25,63
25,61
21,57
18,62
27,61
19,61
23,62
26,61
18,60
24,67
24,63
25,61
26,67
26,70
25,72
25,66
24,67
25,64
20,65
23,65
23,62
26,63
26,64
27,64
22,59
28,62
25,66
25,64
28,66
25,64
24,58
25,61
20,60
27,59
26,63
28,58
20,55
20,52
25,58
25,55
23,54
20,53
20,62
28,62
24,60
24,61
18,55
27,63
19,60
25,63
24,63
18,57
25,61
26,63
23,62
23,64
27,64
20,63
28,70
25,67
25,69
22,65
24,64
25,66
24,64
25,67
21,61
25,61
25,61
19,53
26,61
17,54
28,60
19,58
20,51
25,58
23,56
28,57
19,53
27,61
22,61
24,69
24,64
27,73
22,66
26,68
25,67
20,57
23,65
26,62
25,59
28,63
29,62
21,64
27,60
25,57
28,59
28,59
26,58
28,57
26,56
26,55
28,58
20,53
29,55
24,58
27,56
28,60
25,64
27,60
23,57
25,62
25,57
23,54
23,59
21,55
25,62
19,57
24,61
26,61
25,60
31,63
29,69
19,57
24,64
24,60
24,67
23,64
19,55
27,59
26,61
24,62
25,59
20,55
25,61
22,51
22,58
24,62
24,63
27,61
27,57
23,57
28,57
26,57
20,54
24,62
26,67
25,63
25,60
22,59
23,61
27,65
28,64
29,58
21,55
27,63
27,60
26,60
26,66
25,64
19,63
27,68
27,67
27,65
27,69
22,64
25,74
27,69
28,74
24,72
20,66
25,71
28,67
28,65
19,58
21,59
25,67
25,65
26,60
26,63
21,60
21,63
26,66
26,66
23,64
23,63
25,63
21,61
