aX,aY
38,92
38,117
40,114
35,116
36,113
39,113
37,112
31,102
36,110
38,110
35,108
35,108
37,107
38,104
38,99
36,99
33,92
37,98
35,96
32,91
36,89
29,84
27,85
29,85
34,88
36,92
31,89
32,88
32,85
22,75
28,80
28,81
28,78
28,78
23,71
26,78
25,79
25,79
24,75
17,70
22,74
19,71
24,72
25,66
24,70
24,69
18,68
16,59
18,61
16,59
20,60
19,62
22,65
15,62
22,65
18,65
22,64
23,65
23,66
19,63
21,68
21,67
23,66
22,66
22,68
23,67
24,65
16,59
23,65
22,66
22,64
22,64
20,64
22,63
22,68
18,59
23,64
19,64
22,70
22,70
24,71
24,69
22,64
18,66
24,72
17,63
23,68
22,66
23,69
22,66
25,63
18,62
22,62
18,58
25,64
22,60
23,64
22,60
25,66
25,64
26,64
26,64
21,58
25,69
21,62
26,63
25,61
26,68
24,68
25,70
20,60
24,65
19,60
24,69
24,68
18,57
23,64
24,65
21,66
23,66
23,61
18,61
16,60
21,62
23,65
24,65
20,59
23,63
24,66
21,61
23,62
21,60
17,56
20,57
15,53
25,63
20,60
21,64
24,64
21,60
23,65
16,57
22,65
16,58
20,63
21,63
20,61
21,63
22,62
23,59
24,58
24,57
22,57
23,57
22,57
17,51
20,58
18,53
23,58
23,59
16,53
17,61
18,64
15,61
22,65
22,65
21,66
22,69
22,69
23,69
22,66
22,66
22,65
23,68
18,61
18,66
21,67
23,71
22,70
23,65
22,64
23,67
23,70
17,68
18,65
22,67
22,69
17,69
23,70
15,66
22,66
23,67
18,64
18,65
17,61
19,60
17,61
18,61
22,64
23,64
22,64
16,57
22,64
25,66
19,62
23,61
23,65
28,68
18,60
14,55
24,60
23,67
22,70
23,70
21,65
23,70
19,67
20,75
24,72
22,71
23,71
19,66
19,70
22,69
20,66
23,66
24,66
24,68
24,66
17,63
22,65
22,68
22,68
18,57
24,63
24,63
21,69
24,71
23,71
20,62
25,76
18,75
23,76
22,71
23,70
21,66
17,62
18,57
22,63
23,63
